Unnamed: 0,Region,Country,City,Day,AvgTemperature,AvgTemperatureCelsia
0,Africa,Algeria,Algiers,1,62.0,16.67
1,Africa,Algeria,Algiers,2,62.2,16.78
2,Africa,Algeria,Algiers,3,65.7,18.72
3,Africa,Algeria,Algiers,4,69.8,21.0
4,Africa,Algeria,Algiers,5,63.8,17.67
5,Africa,Algeria,Algiers,6,61.5,16.39
6,Africa,Algeria,Algiers,7,56.2,13.44
7,Africa,Algeria,Algiers,8,55.3,12.94
8,Africa,Algeria,Algiers,9,52.6,11.44
9,Africa,Algeria,Algiers,10,52.9,11.61
10,Africa,Algeria,Algiers,11,58.8,14.89
11,Africa,Algeria,Algiers,12,59.9,15.5
12,Africa,Algeria,Algiers,13,54.1,12.28
13,Africa,Algeria,Algiers,14,54.9,12.72
14,Africa,Algeria,Algiers,15,53.9,12.17
15,Africa,Algeria,Algiers,16,52.0,11.11
16,Africa,Algeria,Algiers,17,51.8,11.0
17,Africa,Algeria,Algiers,18,53.6,12.0
18,Africa,Algeria,Algiers,19,53.1,11.72
19,Africa,Algeria,Algiers,20,52.7,11.5
20,Africa,Algeria,Algiers,21,52.2,11.22
21,Africa,Algeria,Algiers,22,51.5,10.83
22,Africa,Algeria,Algiers,23,56.4,13.56
23,Africa,Algeria,Algiers,24,54.7,12.61
24,Africa,Algeria,Algiers,25,56.8,13.78
25,Africa,Algeria,Algiers,26,55.3,12.94
26,Africa,Algeria,Algiers,27,52.3,11.28
27,Africa,Algeria,Algiers,28,52.3,11.28
28,Africa,Algeria,Algiers,29,60.7,15.94
29,Africa,Algeria,Algiers,30,55.3,12.94
30,Africa,Benin,Cotonou,1,81.7,27.61
31,Africa,Benin,Cotonou,2,81.8,27.67
32,Africa,Benin,Cotonou,3,83.6,28.67
33,Africa,Benin,Cotonou,4,83.4,28.56
34,Africa,Benin,Cotonou,5,80.3,26.83
35,Africa,Benin,Cotonou,6,81.6,27.56
36,Africa,Benin,Cotonou,7,82.3,27.94
37,Africa,Benin,Cotonou,8,83.6,28.67
38,Africa,Benin,Cotonou,9,84.1,28.94
39,Africa,Benin,Cotonou,10,83.8,28.78
40,Africa,Benin,Cotonou,11,84.3,29.06
41,Africa,Benin,Cotonou,12,83.8,28.78
42,Africa,Benin,Cotonou,13,84.1,28.94
43,Africa,Benin,Cotonou,14,83.6,28.67
44,Africa,Benin,Cotonou,15,84.2,29.0
45,Africa,Benin,Cotonou,16,84.2,29.0
46,Africa,Benin,Cotonou,17,84.8,29.33
47,Africa,Benin,Cotonou,18,84.0,28.89
48,Africa,Benin,Cotonou,19,84.3,29.06
49,Africa,Benin,Cotonou,20,84.0,28.89
50,Africa,Benin,Cotonou,21,82.6,28.11
51,Africa,Benin,Cotonou,22,83.5,28.61
52,Africa,Benin,Cotonou,23,82.3,27.94
53,Africa,Benin,Cotonou,24,82.5,28.06
54,Africa,Benin,Cotonou,25,82.0,27.78
55,Africa,Benin,Cotonou,26,81.4,27.44
56,Africa,Benin,Cotonou,27,82.8,28.22
57,Africa,Benin,Cotonou,28,83.2,28.44
58,Africa,Benin,Cotonou,29,83.2,28.44
59,Africa,Benin,Cotonou,30,83.0,28.33
60,Africa,Central African Republic,Bangui,1,77.4,25.22
61,Africa,Central African Republic,Bangui,2,75.9,24.39
62,Africa,Central African Republic,Bangui,3,73.2,22.89
63,Africa,Central African Republic,Bangui,4,76.1,24.5
64,Africa,Central African Republic,Bangui,5,79.6,26.44
65,Africa,Central African Republic,Bangui,6,74.9,23.83
66,Africa,Central African Republic,Bangui,7,76.3,24.61
67,Africa,Central African Republic,Bangui,8,81.0,27.22
68,Africa,Central African Republic,Bangui,9,80.2,26.78
69,Africa,Central African Republic,Bangui,10,80.7,27.06
70,Africa,Central African Republic,Bangui,11,80.9,27.17
71,Africa,Central African Republic,Bangui,12,78.5,25.83
72,Africa,Central African Republic,Bangui,13,79.0,26.11
73,Africa,Central African Republic,Bangui,14,81.4,27.44
74,Africa,Central African Republic,Bangui,15,76.1,24.5
75,Africa,Central African Republic,Bangui,16,76.2,24.56
76,Africa,Central African Republic,Bangui,17,75.6,24.22
77,Africa,Central African Republic,Bangui,18,77.6,25.33
78,Africa,Central African Republic,Bangui,19,75.8,24.33
79,Africa,Central African Republic,Bangui,20,79.7,26.5
80,Africa,Central African Republic,Bangui,21,81.4,27.44
81,Africa,Central African Republic,Bangui,22,79.7,26.5
82,Africa,Central African Republic,Bangui,23,78.0,25.56
83,Africa,Central African Republic,Bangui,24,79.8,26.56
84,Africa,Central African Republic,Bangui,25,78.2,25.67
85,Africa,Central African Republic,Bangui,26,75.9,24.39
86,Africa,Central African Republic,Bangui,27,80.8,27.11
87,Africa,Central African Republic,Bangui,28,80.1,26.72
88,Africa,Central African Republic,Bangui,29,80.6,27.0
89,Africa,Central African Republic,Bangui,30,78.1,25.61
90,Africa,Congo,Brazzaville,1,78.2,25.67
91,Africa,Congo,Brazzaville,2,77.7,25.39
92,Africa,Congo,Brazzaville,3,80.2,26.78
93,Africa,Congo,Brazzaville,4,81.9,27.72
94,Africa,Congo,Brazzaville,5,75.6,24.22
95,Africa,Congo,Brazzaville,6,79.1,26.17
96,Africa,Congo,Brazzaville,7,77.5,25.28
97,Africa,Congo,Brazzaville,8,77.8,25.44
98,Africa,Congo,Brazzaville,9,79.5,26.39
99,Africa,Congo,Brazzaville,10,75.7,24.28
100,Africa,Congo,Brazzaville,11,78.0,25.56
101,Africa,Congo,Brazzaville,12,76.0,24.44
102,Africa,Congo,Brazzaville,13,79.6,26.44
103,Africa,Congo,Brazzaville,14,79.4,26.33
104,Africa,Congo,Brazzaville,15,81.2,27.33
105,Africa,Congo,Brazzaville,16,75.3,24.06
106,Africa,Congo,Brazzaville,17,78.6,25.89
107,Africa,Congo,Brazzaville,18,78.5,25.83
108,Africa,Congo,Brazzaville,19,79.2,26.22
109,Africa,Congo,Brazzaville,20,80.4,26.89
110,Africa,Congo,Brazzaville,21,81.6,27.56
111,Africa,Congo,Brazzaville,22,77.8,25.44
112,Africa,Congo,Brazzaville,23,78.7,25.94
113,Africa,Congo,Brazzaville,24,78.3,25.72
114,Africa,Congo,Brazzaville,25,78.2,25.67
115,Africa,Congo,Brazzaville,26,78.3,25.72
116,Africa,Congo,Brazzaville,27,81.3,27.39
117,Africa,Congo,Brazzaville,28,75.8,24.33
118,Africa,Congo,Brazzaville,29,78.6,25.89
119,Africa,Congo,Brazzaville,30,80.9,27.17
120,Africa,Egypt,Cairo,1,72.5,22.5
121,Africa,Egypt,Cairo,2,69.8,21.0
122,Africa,Egypt,Cairo,3,69.0,20.56
123,Africa,Egypt,Cairo,4,69.1,20.61
124,Africa,Egypt,Cairo,5,70.9,21.61
125,Africa,Egypt,Cairo,6,68.8,20.44
126,Africa,Egypt,Cairo,7,68.0,20.0
127,Africa,Egypt,Cairo,8,68.9,20.5
128,Africa,Egypt,Cairo,9,68.9,20.5
129,Africa,Egypt,Cairo,10,69.2,20.67
130,Africa,Egypt,Cairo,11,68.9,20.5
131,Africa,Egypt,Cairo,12,70.6,21.44
132,Africa,Egypt,Cairo,13,72.4,22.44
133,Africa,Egypt,Cairo,14,71.0,21.67
134,Africa,Egypt,Cairo,15,70.0,21.11
135,Africa,Egypt,Cairo,16,70.5,21.39
136,Africa,Egypt,Cairo,17,70.6,21.44
137,Africa,Egypt,Cairo,18,70.2,21.22
138,Africa,Egypt,Cairo,19,68.8,20.44
139,Africa,Egypt,Cairo,20,69.0,20.56
140,Africa,Egypt,Cairo,21,64.2,17.89
141,Africa,Egypt,Cairo,22,63.4,17.44
142,Africa,Egypt,Cairo,23,63.8,17.67
143,Africa,Egypt,Cairo,24,64.1,17.83
144,Africa,Egypt,Cairo,25,64.9,18.28
145,Africa,Egypt,Cairo,26,65.0,18.33
146,Africa,Egypt,Cairo,27,65.1,18.39
147,Africa,Egypt,Cairo,28,67.4,19.67
148,Africa,Egypt,Cairo,29,65.7,18.72
149,Africa,Egypt,Cairo,30,64.3,17.94
150,Africa,Ethiopia,Addis Ababa,1,60.9,16.06
151,Africa,Ethiopia,Addis Ababa,2,65.1,18.39
152,Africa,Ethiopia,Addis Ababa,3,64.3,17.94
153,Africa,Ethiopia,Addis Ababa,4,64.3,17.94
154,Africa,Ethiopia,Addis Ababa,5,63.0,17.22
155,Africa,Ethiopia,Addis Ababa,6,60.7,15.94
156,Africa,Ethiopia,Addis Ababa,7,58.6,14.78
157,Africa,Ethiopia,Addis Ababa,8,60.5,15.83
158,Africa,Ethiopia,Addis Ababa,9,62.6,17.0
159,Africa,Ethiopia,Addis Ababa,10,62.7,17.06
160,Africa,Ethiopia,Addis Ababa,11,59.7,15.39
161,Africa,Ethiopia,Addis Ababa,12,56.9,13.83
162,Africa,Ethiopia,Addis Ababa,13,67.2,19.56
163,Africa,Ethiopia,Addis Ababa,14,63.2,17.33
164,Africa,Ethiopia,Addis Ababa,15,60.6,15.89
165,Africa,Ethiopia,Addis Ababa,16,59.6,15.33
166,Africa,Ethiopia,Addis Ababa,17,53.9,12.17
